from_name,to_name
摩登家庭,ABC
公主日记,博伟国际
第二梦,竹书娱乐
黑鹰坠落,索尼电影娱乐公司
黑鹰坠落,哥伦比亚影片公司
特洛伊,华纳兄弟影片公司
菩提树下,亚提森娱乐
菩提树下,Bac
菩提树下,Films
名侦探柯南：漆黑的追踪者,东宝株式会社
rio,20世纪福克斯电影公司
穿越时空的少女,Style
穿越时空的少女,Jam
比悲伤更悲伤的故事,Showbox
比悲伤更悲伤的故事,Mediaplex
查理和巧克力工厂,华纳兄弟影片公司
白雪公主与猎人,环球影业
非常主播,Lotte
非常主播,Entertainment
下女,Sidus
下女,Pictures
人鬼情未了,派拉蒙影业公司
三个火枪手,康斯坦丁影业公司
三个火枪手,顶峰娱乐
贤妻,CBS
贤妻,Television
贤妻,Network
何以笙箫默,乐视影业
何以笙箫默,北京
何以笙箫默,有限公司
猛鬼街,Image
猛鬼街,Entertainment
猛鬼街,Inc
全民超人汉考克2,哥伦比亚影业公司
我爱你,N
我爱你,E
我爱你,W
蜗牛,梦工厂
全城戒备,寰宇影片
北上广不相信眼泪,海润影视制作有限公司
未来警察,Mega-Vision
未来警察,Pictures
天际浩劫,Universal
天际浩劫,Picture
天际浩劫,环球影业
白蛇传,上海天一电影公司
好莱坞,派拉蒙公司
哥斯拉,东宝株式会社
阿飞正传,环亚电影发行有限公司
华尔街之狼,派拉蒙影业公司
满城尽带黄金甲,安乐影业
满城尽带黄金甲,索尼经典
满城尽带黄金甲,华纳兄弟新加坡分公司
十二星座离奇事件,银都机构有限公司
火线追凶,mediacs
火线追凶,AG
幸福终点站,梦工厂电影发行公司
一九四二,华谊兄弟
风之谷,吉卜力工作室
独立日2,二十世纪福斯电影公司
枪王之王,Eagle
枪王之王,Films
周末同床,Chungeorahm
周末同床,Film
罗马假日,CIC
罗马假日,Vídeo
罗马假日,NBC电视台
后厨,大连恒光文化传媒有限公司
巴啦啦小魔仙之魔法的考验,北京光线影业有限公司
人猿星球,二十世纪福斯电影公司
大武生,中国电影公司
大武生,星空大地
大武生,欢乐电影
蝶恋花,Argentina
蝶恋花,Video
蝶恋花,Home
蝶恋花,AVH
马永贞,卲氏兄弟公司
喜羊羊与灰太狼之开心闯龙年,上海东方影视
喜羊羊与灰太狼之开心闯龙年,浙江博纳影视
喜羊羊与灰太狼之开心闯龙年,珠江影业
喜羊羊与灰太狼之开心闯龙年,中国电影集团
小时代2：青木时代,乐视影业
小时代2：青木时代,天津
小时代2：青木时代,有限公司
宠物情人,Lotte
宠物情人,Entertainment
钟馗伏魔：雪妖魔灵,大盛国际传媒
钟馗伏魔：雪妖魔灵,上海
钟馗伏魔：雪妖魔灵,光线影业
钟馗伏魔：雪妖魔灵,五洲电影
西风烈,华谊兄弟
窃听风云2,发行工作室
窃听风云2,香港
窃听风云2,有限公司
灰姑娘,Showbox
神奇四侠,二十世纪福斯电影公司
碟中谍3,派拉蒙影业公司
无极,中国电影集团公司
极度强奸,钜升发展有限公司
恋爱季节,香港寰亚电影发行公司
僵尸世界大战2,派拉蒙影业
听风者,美亚华天下电影发行有限公司
听风者,浙江金球影业有限公司
雷神2：黑暗世界,华特·迪士尼与索尼联合发行公司
行尸走肉第六季,美国AMC
变形金刚2,派拉蒙影业公司
人间中毒,New
人间中毒,Entertainment
慈禧秘密生活,中国星集团有限公司
异形大战铁血战士,二十世纪福克斯电影公司等
仙人掌,嘉禾娱乐事业有限公司
四叶草,沈阳农业大学
我爱你,北京北大华亿文化有限责任公司
最后的晚餐,Aura
最后的晚餐,Entertainment
冰封：永恒之门,Shaw
冰封：永恒之门,Organisation
冰封：永恒之门,Well
冰封：永恒之门,Go
冰封：永恒之门,Joyncontents
冰封：永恒之门,Group
奇怪的她,CJ娱乐
两杆大烟枪,Gramercy
两杆大烟枪,Pictures
郁金香,Match
郁金香,Factory
郁金香,The
危险关系,米拉麦克斯影业公司
小鬼当家,20世纪福克斯公司
全面回忆,哥伦比亚影片公司
光辉岁月,北京光线影业有限公司
窈窕淑女,华纳兄弟
窈窕淑女,二十世纪福克斯等
宠物情人,Lotte
宠物情人,Entertainment
洛神,国际影片公司
洛神,万声电影制片公司
桃色情人,美国华纳公司
驯龙高手,派拉蒙影业公司
灰姑娘,TBS
饭局也疯狂,中国电影集团
萧红,中国电影股份有限公司[1]
截拳道,北京天星兄弟影视文化有限公司
悬崖,长春电影制片厂
星河战队,TriStar
星河战队,Pictures
星河战队,[美国]
返老还童,嘉禾电影有限公司
金刚,T-Series
金刚,2006
金刚,India
金刚,video
金刚,VCD
灰姑娘,Channel
灰姑娘,One
灰姑娘,Russia
大旗英雄传,邵氏电影公司
飓风营救,20世纪福克斯电影公司
飓风营救,美国
飓风营救,等
大奥,Asmik
大奥,Ace娱乐
大奥,松竹映画
返老还童,八一电影制片厂
生死狙击,派拉蒙影业公司
新上海滩,电影工作室
茜茜公主,Beta
茜茜公主,Film
茜茜公主,GmbH
幽灵公主,华南广播电影电视传媒集团
人皮客栈,Screen
人皮客栈,Gems
人皮客栈,Inc
美国队长3,华特·迪士尼电影工作室
美国队长3,美国
西厢记,大中华电影企业有限公司
哈姆雷特,BBC
哈姆雷特,Television
哈姆雷特,Centre
哈姆雷特,NHK
唐人街探案,万达影视传媒有限公司
唐人街探案,五洲电影发行有限公司
苏乞儿,嘉禾电影有限公司[1]
青春,Cinema
青春,Service
怒火攻心,狮门影业
杀手47,20世纪福斯电影公司
杀手47,美国
危险关系,华纳兄弟影片公司
大兵小将,华夏电影发行有限责任公司
困惑的浪漫,Leisure
困惑的浪漫,Time
困惑的浪漫,Features
蝙蝠,CJ
蝙蝠,Entertainment
痞子英雄之全面开战,中国电影集团
伦敦,Samuel
伦敦,Goldwyn
伦敦,Films
伦敦,LLC
铁拳,环球影业
哈姆雷特,Choeur
哈姆雷特,du
哈姆雷特,Capitole
哈姆雷特,de
哈姆雷特,Toulouse
哈姆雷特,chorus
功夫之王,狮门电影公司
蜂蜜与四叶草,Asmik
蜂蜜与四叶草,Ace娱乐
哈姆雷特,Telewizja
哈姆雷特,Polska
哈姆雷特,Gaumont
哈姆雷特,British
哈姆雷特,Distributors
哈姆雷特,Ltd
哈姆雷特,Rodolfifilm
哈姆雷特,Cines
哈姆雷特,意大利
哈姆雷特,BBC
哈姆雷特,Television
哈姆雷特,Centre
哈姆雷特,Proartel
哈姆雷特,S
哈姆雷特,A
哈姆雷特,[阿根廷]
机器人总动员,华特·迪士尼电影工作室
詹妮弗的肉体,Fox
詹妮弗的肉体,Atomic
一生一世,英皇电影
星际迷航：暗黑无界,派拉蒙影业公司
星际迷航：暗黑无界,美国
杀戮都市,东宝株式会社
星河战队,TriStar
星河战队,Pictures等
人类消失后的世界,Vii
人类消失后的世界,Pillars
人类消失后的世界,Entertainment
罪恶之城2,帝门影业公司
罪恶之城2,米拉麦克斯影业公司等
迷雾,Prorom
迷雾,Media-Trade次元影业米高梅
人类清除计划,环球影业
世界大战,派拉蒙电影公司
塞班,Studio
塞班,18
杀戮都市,华纳家庭视频公司
杀戮都市,[美国]
驯龙高手2,二十世纪福斯电影公司
驯龙高手2,美国
大奥,富士电视台
大奥,东映映画
马达加斯加,梦工厂电影发行公司[美国]
拆弹部队,顶峰娱乐
夺宝奇兵,派拉蒙电影公司
开膛手杰克,Cineshowcase
沉睡魔咒,华特·迪士尼电影公司
别对我说谎,20世纪福克斯
暴力街区,相对论传媒公司[美国]
青春,上海电影制片厂
赤道,寰亚电影制作有限公司
我想和你好好的,乐视影业
我想和你好好的,北京
我想和你好好的,有限公司
源氏物语,角川映画
源氏物语,东宝映画
圆月弯刀,洲立影视有限公司
绿巨人浩克,环球影业
两小无猜,British
两小无猜,Lion
两小无猜,Films
先知,顶峰娱乐
牡丹亭,上海电影集团与浙江凯恩影视及香港卫视
卿本佳人,新宝娱乐有限公司
欲乱宴会,Strand
欲乱宴会,Releasing
速度与激情3：东京漂移,环球影业
刀锋战士,新线电影公司
刀锋战士,美国
惊变28天,20世纪福克斯
火线追凶,mediacs
火线追凶,AG
神奇四侠,New
神奇四侠,Horizons
奥特曼传奇,松竹
大追捕,银都电影发行有限公司
玉观音,中影股份有限公司
开心鬼,寰亚电影发行有限公司
巨乳娘战僵尸,TMC
战争之王,狮门影业LGF
英雄本色,嘉禾电影有限公司
王牌特工：特工学院,二十世纪福克斯电影公司
歌剧魅影,01
歌剧魅影,Distribuzione
天安门,中国电影集团公司
德州电锯杀人狂,Bryanston
德州电锯杀人狂,Distributing
德州电锯杀人狂,Company
