from_name,to_name
罗密欧与朱丽叶,乔治·库克
斯巴达300勇士,扎克·施耐德
名侦探柯南：绝海的侦探,静野孔文
失眠,金钟赫
铁甲钢拳,肖恩·利维
无敌浩克,路易斯·莱特里尔
宝贝计划,陈木胜
音乐之声,罗伯特·怀斯
无耻混蛋,昆汀·塔伦蒂诺
无耻混蛋,伊莱·罗斯
海底两万里,Stuart
海底两万里,Paton
爱人,金泰恩
杨开慧,秦志钰
村妓,黄蜀芹
名侦探柯南：沉默的15分钟,山本泰一郎
名侦探柯南：沉默的15分钟,静野孔文
青蜂侠,林正英
巴黎圣母院,让·德拉努瓦
起风了,宫崎骏
舞出我人生,Anne
舞出我人生,Fletcher
巴黎圣母院,Michael
巴黎圣母院,Tuchner
不道德的故事,Walerian
不道德的故事,Borowczyk
玉女心经,钱文锜
万能钥匙,伊恩·索夫特雷
一场风花雪月的事,高群书
黑色大丽花,Ramzi
黑色大丽花,Abed
六月,丘九墉
六月,周乔
六月,裴魁山
青蜂侠,Apel
青蜂侠,Productions
人鱼帝国,迈克尔·弗兰奇
人鱼帝国,斯科特·米勒
巴黎圣母院,乔治·弗朗叙
木乃伊,卡尔·弗罗伊德
快乐到死,郑址宇
时间规划局,安德鲁·尼科尔
斗鱼,弗朗西斯·福特·科波拉
爱情呼叫转移,张建亚
穆桂英挂帅,徐苏灵
贱女孩,马克·S·沃特斯[1]
天若有情,陈木胜
最爱,顾长卫
被偷走的那五年,黄真真
跆拳道,麦丽丝
灯草和尚,黎继明
灯草和尚,Kai
灯草和尚,Ming
灯草和尚,Lai
风云雄霸天下,刘伟强
花样年华,王家卫
水,史文帜
老无所依,乔尔·科恩
老无所依,伊桑·科恩
真爱至上,理查德·柯蒂斯
罗密欧与朱丽叶,卡罗·卡雷
那小子真帅,李焕庆
倾城之恋,许鞍华
在一起,霍耀良
新不了情,尔冬升
大武生,高晓松
海阔天空,理查德·唐纳
分手大师,邓超
分手大师,俞白眉
士兵突击之勇者奇兵,宋德祥
海阔天空,李舒田
海阔天空,赵旭
LOVE,钮承泽
甜蜜蜜,陈可辛
天外飞仙,理查德·本杰明
格列佛游记,戴维·福勒斯奇尔
水浒传之英雄好色,林一鑫
格列佛游记,Peter
格列佛游记,R
格列佛游记,Hunt
低俗喜剧,彭浩翔
织田信长,生野慈明
倾城之泪,黄真真
罗密欧与朱丽叶,Redha
罗密欧与朱丽叶,Gilles
罗密欧与朱丽叶,Amado
美女的烦恼,金荣华
青楼十二房,黎继明
罗密欧与朱丽叶,卡罗
罗密欧与朱丽叶,卡雷
恩典,马提亚·甘斯勒
倾城之恋,黄真真
孤儿怨,佐米·希尔拉
生化危机：战神再生,保罗·安德森
阿飞,叶伟民
宿醉,托德·菲利普斯
功夫熊猫2,詹妮弗·余
白日焰火,刁亦男
洛奇,约翰·G·艾维尔森
纳尼亚传奇,安德鲁·亚当森
性欲机器,田尻裕司
红高粱,张艺谋
刀锋战士,斯蒂芬·诺林顿
我为卿狂,何藩
袁隆平,史凤和
后宫：帝王之妾,金大承
暧昧,莫妮卡·楚特
中南海保镖,元奎
极限特工,罗伯·科恩
德州电锯杀人狂,马库斯·尼斯佩尔
罗马,Adolfo
罗马,Aristarain
传奇,李晓华
猩球崛起：黎明之战,马特·里夫斯
嘻游记,钟少雄
功夫梦,哈罗德·兹瓦特
NANA,大谷健太郎
你是我的命运,朴镇彪
色欲之死,友松直之
青春荷尔蒙,郭雷
青春派,刘杰
遗落战境,约瑟夫·科辛斯基
拳王,杨志坚
摩登家庭,盖尔·曼库索
摩登家庭,斯蒂文·莱维坦等
公主日记,盖瑞·马歇尔
拳王,李涛
下一个奇迹,卓立
拳王,Xavier
拳王,Durringer
鱼,平尾隆之[2]
铠甲勇士之帝皇侠,郑国伟
第二梦,李缨
詹天佑,孙道临姚寿康
兵临城下,让·雅克·阿诺
黑鹰坠落,雷德利·斯科特
特洛伊,沃尔夫冈·彼得森
